"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ema1_restrict_amount,ema_1,"To what extent did you attempt the following behaviors (even if you were unsuccessful) in order to influence your weight or your shape?",radio,"Tried to limit the amount you ate","0, Did not attempt at all | 1,  | 2,  | 3,  | 4, Attempted as hard as I could",,,,,,,y,,,ema1_restrict,,
ema1_restrict_avoid,ema_1,,radio,"Tried to avoid eating certain foods that you like","0, Did not attempt at all | 1,  | 2,  | 3,  | 4, Attempted as hard as I could",,,,,,,y,,,ema1_restrict,,
ema1_restrict_delay,ema_1,,radio,"Tried to delay eating","0, Did not attempt at all | 1,  | 2,  | 3,  | 4, Attempted as hard as I could",,,,,,,y,,,ema1_restrict,,
ema1_actually_limit,ema_1,"Did you ACTUALLY engage in the following behaviors in order to influence your weight or your shape?",radio,"Tried to limit the amount you ate","1, Yes | 0, No",,,,,,,y,,,ema1_actually_restrict,,
ema1_actually_avoid,ema_1,,radio,"Tried to avoid eating certain foods that you like","1, Yes | 0, No",,,,,,,y,,,ema1_actually_restrict,,
ema1_actually_delay,ema_1,,radio,"Tried to delay eating","1, Yes | 0, No",,,,,,,y,,,ema1_actually_restrict,,
ema1_fear_wt_gain,ema_1,,radio,"To what extent are you currently afraid of gaining weight?","0, Not at all afraid | 1,  | 2,  | 3,  | 4, Very afraid",,,,,,,y,,,,,
ema1_exercise,ema_1,,yesno,"Have you exercised?",,,,,,,,y,,,,,
ema1_exercise_type,ema_1,,notes,"What type of exercise(s) have you engaged in and for how many minutes?",,,,,,,"[ema1_exercise] = 1",y,,,,,
ema1_driven_ex,ema_1,"To what extent did you...",radio,"Feel driven or compelled to exercise?","0, Not at all | 1,  | 2,  | 3,  | 4, Completely",,,,,,,y,,,ema1_ex_type,,
ema1_shape_wt_ex,ema_1,,radio,"Exercise to control your shape or weight?","0, Not at all | 1,  | 2,  | 3,  | 4, Completely",,,,,,,y,,,ema1_ex_type,,
ema1_binge_ex,ema_1,,radio,"Exercise to compensate for an eating episode?","0, Not at all | 1,  | 2,  | 3,  | 4, Completely",,,,,,,y,,,ema1_ex_type,,
ema1_preoccupied,ema_1,,radio,"Indicate the extent to which you have felt preoccupied with the thoughts of being thinner.","0, Not at all | 1,  | 2,  | 3,  | 4, Extremely",,,,,,,y,,,,,
ema1_satisfied_shape_wt,ema_1,,radio,"Right now, how satisfied do you feel with your body shape [weight]?","0, Not at all | 1,  | 2,  | 3,  | 4, Extremely",,,,,,,y,,,,,
ema1_shape_wt_judge,ema_1,,radio,"Right now, to extent does your shape [weight] influence how think about (judge) yourself as a person?","0, Not at all | 1,  | 2,  | 3,  | 4, Extremely",,,,,,,y,,,,,
ema1_email,ema_1,,text,"Email address
(We are requesting your email address to send you a similar survey tomorrow morning. To note: email is generally not a secure way to communicate about your health as there are many ways for unauthorized users to access email. You should avoid sending sensitive, detailed personal information by email. Email should also not be used to convey information of an urgent nature.)",,,email,,,y,,y,,,,,
mmq_mini_recent_mens,mmqs,,text,"Estimate the start date of your last or current period:
(if this does not apply to you, leave blank)",,,date_mdy,,,,,,,,,,
mmq_mini_number_mens,mmqs,,text,"What is the number of periods you have had in the past three months?",,,number,0,50,,,,,,,,
ed100k_record_id_plus,ed_100k_plus,,text,"Record ID",,,,,,,,,,,,," @WORDLIMIT=""1""
@HIDDEN-SURVEY"
ed100kp_dem_plus,ed_100k_plus,,descriptive,DEMOGRAPHICS,,,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_age_plus,ed_100k_plus,,text,"Current age",,"Report your answer as a number",number,0,100,,,y,,,,,
ed100kp_sex_plus,ed_100k_plus,,radio,"Sex assigned at birth?","0, Male | 1, Female",,,,,,,y,,,,,
ed100kp_cur_weight_plus,ed_100k_plus,"Weight History",descriptive,"CURRENT WEIGHT AND HEIGHT",,,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_lbs_kg_plus,ed_100k_plus,,radio,"The following section will ask about how your weight has changed over the years. For this section, you can report in either pounds or kilograms. Will you be answering in pounds or kilograms?","1, pounds | 2, kilograms",,,,,,,y,,,,,
ed100k_wt_current_plus,ed_100k_plus,,text,"How much do you currently weigh? ",,"Report your answer as a number",integer,50,300,,,y,,,,,
ed100k_wt_current_correct_plus,ed_100k_plus,,calc,"Corrected weight.","if([ed100k_lbs_kg_plus]=2,[ed100k_wt_current_plus]*2.2046,[ed100k_wt_current_plus])",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_height_plus,ed_100k_plus,,dropdown,"How tall are you now?","48, 4'0"" (122 cm) | 49, 4'1"" (124 cm) | 50, 4'2"" (127 cm) | 51, 4'3"" (130 cm) | 52, 4'4"" (132 cm) | 53, 4'5"" (135 cm) | 54, 4'6"" (137 cm) | 55, 4'7"" (140 cm) | 56, 4'8"" (142 cm) | 57, 4'9"" (145 cm) | 58, 4'10"" (147 cm) | 59, 4'11"" (150 cm) | 60, 5'0"" (152 cm) | 61, 5'1"" (155 cm) | 62, 5'2"" (158 cm) | 63, 5'3"" (160 cm) | 64, 5'4"" (163 cm) | 65, 5'5"" (165 cm) | 66, 5'6"" (168 cm) | 67, 5'7"" (170 cm) | 68, 5'8"" (173 cm) | 69, 5'9"" (175 cm) | 70, 5'10"" (178 cm) | 71, 5'11"" (180 cm) | 72, 6'0"" (183 cm) | 73, 6'1"" (185 cm) | 74, 6'2"" (188 cm) | 75, 6'3"" (191 cm) | 76, 6'4"" (193 cm) | 77, 6'5"" (196 cm) | 78, 6'6"" (198 cm) | 79, 6'7"" (200 cm) | 80, 6'8"" (203 cm) | 81, 6'8"" (206 cm) | 82, 6'10"" (208 cm) | 83, 6'11"" (211 cm) | 84, 7'0"" (213 cm)",,,,,,,y,,,,,
dcf_current_height_plus,ed_100k_plus,,text,"How old were you when you reached your current height?",,"Report your answer as a number",integer,0,100,,,y,,,,,
ed100k_currentbmi_plus,ed_100k_plus,,calc,"Current BMI","round(([ed100k_wt_current_correct_plus]/(([ed100k_height_plus])^(2))*703), 1)",,,,,,,,,,,," @HIDDEN-SURVEY"
wdqhq_poundschange_plus,ed_100k_plus,,radio,"Which of these statements best describes what has happened to your weight during the past 6 months?","1, My weight has stayed about the same | 2, I've been losing weight | 3, I've been gaining weight | 4, My weight has fluctuated a lot",,,,,,,y,,,,,
ed100kp_heigh_weight_plus,ed_100k_plus,,descriptive,"HIGHEST PAST WEIGHT",,,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_wt_hi_lb_plus,ed_100k_plus,,text,"What is the most you have ever weighed (except during pregnancy, if applicable)?",,"Report your answer as a number",integer,50,500,,,y,,,,,
ed100k_wt_hi_lb_correct_plus,ed_100k_plus,,calc,"Corrected weight.","if([ed100k_lbs_kg_plus]=2,[ed100k_wt_hi_lb_plus]*2.2046,[ed100k_wt_hi_lb_plus])",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_height_high_plus,ed_100k_plus,,dropdown,"How tall were you then?","48, 4'0"" (122 cm) | 49, 4'1"" (124 cm) | 50, 4'2"" (127 cm) | 51, 4'3"" (130 cm) | 52, 4'4"" (132 cm) | 53, 4'5"" (135 cm) | 54, 4'6"" (137 cm) | 55, 4'7"" (140 cm) | 56, 4'8"" (142 cm) | 57, 4'9"" (145 cm) | 58, 4'10"" (147 cm) | 59, 4'11"" (150 cm) | 60, 5'0"" (152 cm) | 61, 5'1"" (155 cm) | 62, 5'2"" (158 cm) | 63, 5'3"" (160 cm) | 64, 5'4"" (163 cm) | 65, 5'5"" (165 cm) | 66, 5'6"" (168 cm) | 67, 5'7"" (170 cm) | 68, 5'8"" (173 cm) | 69, 5'9"" (175 cm) | 70, 5'10"" (178 cm) | 71, 5'11"" (180 cm) | 72, 6'0"" (183 cm) | 73, 6'1"" (185 cm) | 74, 6'2"" (188 cm) | 75, 6'3"" (191 cm) | 76, 6'4"" (193 cm) | 77, 6'5"" (196 cm) | 78, 6'6"" (198 cm) | 79, 6'7"" (200 cm) | 80, 6'8"" (203 cm) | 81, 6'8"" (206 cm) | 82, 6'10"" (208 cm) | 83, 6'11"" (211 cm) | 84, 7'0"" (213 cm)",,,,,,,y,,,,,
ed100k_high_bmi_plus,ed_100k_plus,,calc,"Highest Past BMI","round(([ed100k_wt_hi_lb_correct_plus]/(([ed100k_height_high_plus])^(2))*703), 1)",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100kp_wt_cur_hi_plus,ed_100k_plus,,calc,"Difference between current weight and highest past weight","round([ed100k_wt_hi_lb_correct_plus]-[ed100k_wt_current_correct_plus],1)",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100kp_bmi_cur_hi_plus,ed_100k_plus,,calc,"Difference between current BMI and highest past BMI","round([ed100k_high_bmi_plus]-[ed100k_currentbmi_plus],1)",,,,,,,,,,,," @HIDDEN-SURVEY"
wdqhq_less5why_plus,ed_100k_plus,,radio,"Please pick the statement below that best describes this greater than 5lb difference between your current weight and your highest past weight: ","1, The difference is due to weight that I lost on purpose | 2, The difference is due to weight that I lost even thought I wasn't trying to | 3, I'm not sure why I weigh less than I once did.",,,,,,[ed100kp_wt_cur_hi_plus]>5,y,,,,,
dcf_weight_happen_plus,ed_100k_plus,,yesno,"Was there anything that happened before your highest weight that contributed to weight gain (e.g., a sports injury)?",,,,,,,[ed100kp_wt_cur_hi_plus]>5,y,,,,,
dcf_weight_happen_explain_plus,ed_100k_plus,,text,Explain...,,,,,,,[dcf_weight_happen_plus]=1,y,,,,,
ed100k_age_hitwt_plus,ed_100k_plus,,text,"How old were you when you were at your highest weight? (Years)",,"Report your answer as a number",integer,0,120,,,y,,,,,
ed100kp_hi_wt_start_plus,ed_100k_plus,,text,"When were you FIRST at your highest weight? 
(If unsure, please provide your best guess. The day of the month does not matter.)",,,date_mdy,,,,,y,,,,,
ed100kp_hi_wt_last_plus,ed_100k_plus,,text,"When were you LAST at your highest weight? 
(If unsure, please provide your best guess. The day of the month does not matter.)",,,date_mdy,,,,,y,,,,,
dcf_hi_wt_long_plus,ed_100k_plus,,calc,"How long participant was at their highest ever weight (days)","datediff ([ed100kp_hi_wt_start_plus], [ed100kp_hi_wt_last_plus], ""d"", ""mdy"", true)",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100kp_maintain_hi_wt_plus,ed_100k_plus,,yesno,"Did you maintain this same weight for the entirety of the time you were first at your highest weight and last at your highest weight?",,,,,,,,y,,,,,
ed100kp_heaviest_time_plus,ed_100k_plus,,descriptive,"Think about the time when you were at your heaviest weight relative to peers your same age and gender.",,,,,,,,,,,,,
ed100kp_heaviest_compare_plus,ed_100k_plus,,radio,"Regarding weight and relative to other people of your same age and gender, would you say you were: ","1, a lot lighter | 2, somewhat lighter | 3, about the same | 4, a little heavier | 5, a lot heavier",,,,,,,y,,,,,
ed100kp_heaviest_age_plus,ed_100k_plus,,text,"How old were you then? (Years)",,"Report your answer as a number",integer,,,,,y,,,,,
ed100kp_heaviest_height_plus,ed_100k_plus,,dropdown,"How tall were you then? (give your best guess)","48, 4'0"" (122 cm) | 49, 4'1"" (124 cm) | 50, 4'2"" (127 cm) | 51, 4'3"" (130 cm) | 52, 4'4"" (132 cm) | 53, 4'5"" (135 cm) | 54, 4'6"" (137 cm) | 55, 4'7"" (140 cm) | 56, 4'8"" (142 cm) | 57, 4'9"" (145 cm) | 58, 4'10"" (147 cm) | 59, 4'11"" (150 cm) | 60, 5'0"" (152 cm) | 61, 5'1"" (155 cm) | 62, 5'2"" (158 cm) | 63, 5'3"" (160 cm) | 64, 5'4"" (163 cm) | 65, 5'5"" (165 cm) | 66, 5'6"" (168 cm) | 67, 5'7"" (170 cm) | 68, 5'8"" (173 cm) | 69, 5'9"" (175 cm) | 70, 5'10"" (178 cm) | 71, 5'11"" (180 cm) | 72, 6'0"" (183 cm) | 73, 6'1"" (185 cm) | 74, 6'2"" (188 cm) | 75, 6'3"" (191 cm) | 76, 6'4"" (193 cm) | 77, 6'5"" (196 cm) | 78, 6'6"" (198 cm) | 79, 6'7"" (200 cm) | 80, 6'8"" (203 cm) | 81, 6'8"" (206 cm) | 82, 6'10"" (208 cm) | 83, 6'11"" (211 cm) | 84, 7'0"" (213 cm)",,,,,,,y,,,,,
ed100kp_heaviest_weight_plus,ed_100k_plus,,text,"How much did you weigh then? (give your best guess) ",,"Report your answer as a number",number,,,,,y,,,,,
ed100k_wt_heaviest_correct_plus,ed_100k_plus,,calc,"Corrected weight.","if([ed100k_lbs_kg_plus]=2,[ed100kp_heaviest_weight_plus]*2.2046,[ed100kp_heaviest_weight_plus])",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100kp_heaviest_bmi_plus,ed_100k_plus,,calc,"highest developmental BMI","round(([ed100k_wt_heaviest_correct_plus]/(([ed100kp_heaviest_height_plus])^(2))*703), 1)",,,,,,,,,,,," @HIDDEN-SURVEY"
wdqhq_poundtime_date_plus,ed_100k_plus,,text,"When was the most recent time you weighed greater than 5lbs (>5lbs) than your current weight?
(If unsure, please provide your best guess. The day of the month does not matter.)
",,,date_mdy,,,,[ed100kp_wt_cur_hi_plus]>5,y,,,,,
ed100kp_cur_date_plus,ed_100k_plus,,text,"Current date",,,date_mdy,,,,,,,,,," @TODAY @HIDDEN-SURVEY"
ed100kp_close_5lb_plus,ed_100k_plus,,calc,"How long the participant has been at or close (within 5lbs.) to their present weight (Days)","datediff([wdqhq_poundtime_date_plus], 'today', 'd')",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100kp_lowest_past_weight_plus,ed_100k_plus,,descriptive,"LOWEST PAST WEIGHT",,,,,,,,,,,,," @HIDDEN-SURVEY"
wdqhq_leastpounds_plus,ed_100k_plus,,text,"What is the least you have ever weighed since reaching your current height? (do not count any weight losses due to medical conditions or medications). 
",,"Report your answer as a number",integer,,,,,y,,,,,
ed100k_wt_least_correct_plus,ed_100k_plus,,calc,"Corrected weight.","if([ed100k_lbs_kg_plus]=2,[wdqhq_leastpounds_plus]*2.2046,[wdqhq_leastpounds_plus])",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_lowestadultbmi_plus,ed_100k_plus,,calc,"Lowest Adult BMI","round(([ed100k_wt_least_correct_plus]/(([ed100k_height_plus])^(2))*703), 1)",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100kp_current_low_weight_plus,ed_100k_plus,,calc,"Difference between current and lowest weight","round([ed100k_wt_hi_lb_correct_plus]-[ed100k_wt_least_correct_plus],1)",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100kp_current_low_bmi_plus,ed_100k_plus,,calc,"Difference between current and lowest BMI","round([ed100k_currentbmi_plus]-[ed100k_lowestadultbmi_plus],1)",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100kp_high_low_weight_plus,ed_100k_plus,,calc,"Difference between highest and lowest weight","round([ed100k_wt_hi_lb_correct_plus]-[ed100k_wt_least_correct_plus],1)",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100kp_high_low_bmi_plus,ed_100k_plus,,calc,"Difference between highest and lowest BMI","round([ed100k_high_bmi_plus]-[ed100k_lowestadultbmi_plus],1)",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100kp_current_wt_loss_plus,ed_100k_plus,,calc,"Current Weight suppression","round((([ed100k_wt_hi_lb_correct_plus]-[ed100k_wt_current_correct_plus])/[ed100k_wt_hi_lb_correct_plus]),1)*100",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_wt_lo_age_plus,ed_100k_plus,,text,"How old were you when you were at your lowest weight at your current height? (Years)",,"Report your answer as a number",integer,0,120,,,y,,,,,
ed100kp_lowest_times_plus,ed_100k_plus,,descriptive,"Think about the time when you were at your lowest weight relative to peers your same age and gender.",,,,,,,,,,,,,
ed100kp_low_wt_compare_plus,ed_100k_plus,,radio,"Regarding weight and relative to other people of your same age and gender, would you say you were:","1, A lot lighter | 2, Somewhat lighter | 3, About the same | 4, Somewhat heavier | 5, A lot heavier",,,,,,,y,,,,,
ed100kp_lowest_age_plus,ed_100k_plus,,text,"How old were you then? (Years)",,"Report your answer as a number",integer,,,,,y,,,,,
ed100kp_lowest_height_plus,ed_100k_plus,,dropdown,"How tall were you then? (give your best guess)","48, 4'0"" (122 cm) | 49, 4'1"" (124 cm) | 50, 4'2"" (127 cm) | 51, 4'3"" (130 cm) | 52, 4'4"" (132 cm) | 53, 4'5"" (135 cm) | 54, 4'6"" (137 cm) | 55, 4'7"" (140 cm) | 56, 4'8"" (142 cm) | 57, 4'9"" (145 cm) | 58, 4'10"" (147 cm) | 59, 4'11"" (150 cm) | 60, 5'0"" (152 cm) | 61, 5'1"" (155 cm) | 62, 5'2"" (158 cm) | 63, 5'3"" (160 cm) | 64, 5'4"" (163 cm) | 65, 5'5"" (165 cm) | 66, 5'6"" (168 cm) | 67, 5'7"" (170 cm) | 68, 5'8"" (173 cm) | 69, 5'9"" (175 cm) | 70, 5'10"" (178 cm) | 71, 5'11"" (180 cm) | 72, 6'0"" (183 cm) | 73, 6'1"" (185 cm) | 74, 6'2"" (188 cm) | 75, 6'3"" (191 cm) | 76, 6'4"" (193 cm) | 77, 6'5"" (196 cm) | 78, 6'6"" (198 cm) | 79, 6'7"" (200 cm) | 80, 6'8"" (203 cm) | 81, 6'8"" (206 cm) | 82, 6'10"" (208 cm) | 83, 6'11"" (211 cm) | 84, 7'0"" (213 cm)",,,,,,,y,,,,,
ed100kp_lowest_weight_plus,ed_100k_plus,,text,"How much did you weigh then? (give your best guess) ",,"Report your answer as a number",integer,,,,,y,,,,,
ed100k_wt_lowest_correct_plus,ed_100k_plus,,calc,"Corrected weight.","if([ed100k_lbs_kg_plus]=2,[ed100kp_lowest_weight_plus]*2.2046,[ed100kp_lowest_weight_plus])",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100kp_lowest_dev_bmi_plus,ed_100k_plus,,calc,"Lowest developmental BMI","round(([ed100k_wt_lowest_correct_plus]/(([ed100kp_lowest_height_plus])^(2))*703), 1)",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100kp_setpoint_plus,ed_100k_plus,,descriptive,"SETPOINT WEIGHT",,,,,,,,,,,,," @HIDDEN-SURVEY"
dcf_weight_settle_plus,ed_100k_plus,,yesno,"Has there been a weight that your body 'settles on' or comes back to? ",,,,,,,,y,,,,,
dcf_weight_settle_weight_plus,ed_100k_plus,,text,"What is that weight?",,"Report your answer as a number",integer,,,,[dcf_weight_settle_plus]=1,y,,,,,
ed100k_wt_setp_correct_plus,ed_100k_plus,,calc,"Corrected weight.","if([ed100k_lbs_kg_plus]=2,[dcf_weight_settle_weight_plus]*2.2046,[dcf_weight_settle_weight_plus])",,,,,,,,,,,," @HIDDEN-SURVEY"
dcf_weight_maintained_plus,ed_100k_plus,,text,"What is the weight that your body has maintained for the longest period of time at your current height?",,"Report your answer as a number",integer,,,,,y,,,,,
ed100k_wt_main_correct_plus,ed_100k_plus,,calc,"Corrected weight.","if([ed100k_lbs_kg_plus]=2,[dcf_weight_maintained_plus]*2.2046,[dcf_weight_maintained_plus])",,,,,,,,,,,," @HIDDEN-SURVEY"
dcf_weight_maintain_first_plus,ed_100k_plus,,text,"When were you FIRST at that weight? 
(If unsure, please provide your best guess. The day of the month does not matter.)",,,date_mdy,,,,,y,,,,,
dcf_weight_maintain_last_plus,ed_100k_plus,,text,"When were you LAST at that weight? 
(If unsure, please provide your best guess. The day of the month does not matter.)",,,date_mdy,,,,,y,,,,,
ed100kp_main_wt_time_plus,ed_100k_plus,,calc,"How long participant was at the weight their body has maintained for the longest period of time at their current height (days)","datediff ([dcf_weight_maintain_first_plus], [dcf_weight_maintain_last_plus], ""d"", ""mdy"", true)",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100kp_weight_loss_plus,ed_100k_plus,,descriptive,"WEIGHT LOSS",,,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_underwt_past_plus,ed_100k_plus,,radio,"Have you ever had a period of time when you weighed much less than other people thought you ought to weigh?","1, Yes | 0, No | -9, not sure",,,,,,,y,,,,,
ed100k_other_ill_plus,ed_100k_plus,,radio,"When you weighed much less than other people thought you ought to weigh or were at a low weight, was this due to an illness other than an eating disorder?","1, Yes | 0, No | -9, Not Sure",,,,,,"[ed100k_underwt_past_plus] = '1'",y,,,,,
ed100k_illness_plus,ed_100k_plus,,text,"What was the illness?",,,,,,,"[ed100k_other_ill_plus] = '1'",y,,,,,
ed100k_sig_weightloss_plus,ed_100k_plus,,yesno,"Has there ever been a time when you lost a significant amount of weight (i.e. more than 5lb) in a short period of time (less than 6 months)?",,,,,,,,y,,,,,
ed100k_weightloss_plus,ed_100k_plus,,text,"If you have had more than one significant weight loss, think about the time that you lost the most weight. How much weight did you lose during that time? ",,"Report your answer as a number",integer,1,200,,"[ed100k_sig_weightloss_plus] = '1'",y,,,,,
ed100k_weightloss_corr_plus,ed_100k_plus,,calc,"Corrected weight loss.","if([ed100k_lbs_kg_plus]=2,[ed100k_weightloss_plus]*2.2046,[ed100k_weightloss_plus])",,,,,,,,,,,," @HIDDEN-SURVEY"
edhistory_multiweightloss_plus,ed_100k_plus,,yesno,"Has this happened more than once?",,,,,,,"[ed100k_sig_weightloss_plus]= '1'",y,,,,,
edhistory_mostweightloss_plus,ed_100k_plus,,descriptive,"Thinking about the period when you lost the most weight:",,,,,,,"[edhistory_multiweightloss_plus] = '1'",,,,,,
edhistory_weightlosshigh_plus,ed_100k_plus,,text,"What was your approximate weight before your weight loss/when you weighed much less than other people thought you ought to weigh? ",,"Report your answer as a number",integer,,,,"[ed100k_sig_weightloss_plus] = '1' OR
[ed100k_underwt_past_plus] = 1",y,,,,,
ed100kp_wt_before_corr_plus,ed_100k_plus,,calc,"Corrected weight before weight loss","if([ed100k_lbs_kg_plus]=2,[edhistory_weightlosshigh_plus]*2.2046,[edhistory_weightlosshigh_plus])",,,,,,,,,,,," @HIDDEN-SURVEY"
edhistory_weightlosslow_plus,ed_100k_plus,,text,"What was your weight at the lowest point in your weight loss/when you weighed much less than other people thought you ought to weigh?",,"Report your answer as a number",integer,,,,"[ed100k_sig_weightloss_plus] = '1' OR
[ed100k_underwt_past_plus] = 1",y,,,,,
ed100kp_wt_lowest_corr_plus,ed_100k_plus,,calc,"Corrected weight at lowest point in weight loss","if([ed100k_lbs_kg_plus]=2,[edhistory_weightlosslow_plus]*2.2046,[edhistory_weightlosslow_plus])",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100kp_percent_wt_loss,ed_100k_plus,,calc,"Percentage of body weight lost during this time of significant weight loss","round(([ed100kp_wt_before_corr_plus] - [ed100kp_wt_lowest_corr_plus])/ [ed100kp_wt_before_corr_plus] *100, 1)",,,,,,,,,,,," @HIDDEN-SURVEY"
edhistory_weightlossage_plus,ed_100k_plus,,text,"How old were you when you when you reached the lowest point in your weight loss/when you weighed much less than other people thought you ought to weigh? (Years)",,"Report your answer as a number",integer,,,,"[ed100k_sig_weightloss_plus] = '1' OR
[ed100k_underwt_past_plus] = 1",y,,,,,
edhistory_height_plus,ed_100k_plus,,dropdown,"How tall were you then? (give your best guess)","48, 4'0"" (122 cm) | 49, 4'1"" (124 cm) | 50, 4'2"" (127 cm) | 51, 4'3"" (130 cm) | 52, 4'4"" (132 cm) | 53, 4'5"" (135 cm) | 54, 4'6"" (137 cm) | 55, 4'7"" (140 cm) | 56, 4'8"" (142 cm) | 57, 4'9"" (145 cm) | 58, 4'10"" (147 cm) | 59, 4'11"" (150 cm) | 60, 5'0"" (152 cm) | 61, 5'1"" (155 cm) | 62, 5'2"" (158 cm) | 63, 5'3"" (160 cm) | 64, 5'4"" (163 cm) | 65, 5'5"" (165 cm) | 66, 5'6"" (168 cm) | 67, 5'7"" (170 cm) | 68, 5'8"" (173 cm) | 69, 5'9"" (175 cm) | 70, 5'10"" (178 cm) | 71, 5'11"" (180 cm) | 72, 6'0"" (183 cm) | 73, 6'1"" (185 cm) | 74, 6'2"" (188 cm) | 75, 6'3"" (191 cm) | 76, 6'4"" (193 cm) | 77, 6'5"" (196 cm) | 78, 6'6"" (198 cm) | 79, 6'7"" (200 cm) | 80, 6'8"" (203 cm) | 81, 6'8"" (206 cm) | 82, 6'10"" (208 cm) | 83, 6'11"" (211 cm) | 84, 7'0"" (213 cm)",,,,,,"[ed100k_sig_weightloss_plus] = '1' OR
[ed100k_underwt_past_plus] = 1",y,,,,,
ed100k_an_dur_1_plus,ed_100k_plus,,dropdown,"How long were you at this low weight?","1, 1 to 6 months | 2, 7 to 11 months | 3, 1 year to 2 years | 4, More than 2 years",,,,,,"[ed100k_underwt_past_plus] = '1' or [ed100k_sig_weightloss_plus] = '1'",y,,,,,
ed100k_an_dur_2_plus,ed_100k_plus,,text,"How many years?",,"Report your answer as a number",number,0,100,,"[ed100k_an_dur_1_plus] = '4'",y,,,,,
ed100k_an_bmi_plus,ed_100k_plus,,calc,"AN BMI","round(([ed100kp_wt_lowest_corr_plus]/(([edhistory_height_plus])^(2))*703), 1)",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100kp_cur_an_wt_plus,ed_100k_plus,,calc,"Difference between current and AN weight","round([ed100k_wt_current_plus]-[edhistory_weightlosslow_plus],1)",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100kp_cur_an_bmi_plus,ed_100k_plus,,calc,"Difference between current and AN BMI","round([ed100k_currentbmi_plus]-[ed100k_an_bmi_plus],1)",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_hi_an_wt_plus,ed_100k_plus,,calc,"Difference between highest and AN weight","round([ed100k_wt_hi_lb_plus]-[edhistory_weightlosslow_plus],1)",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_hi_an_bmi_plus,ed_100k_plus,,calc,"Difference between highest and AN BMI","round([ed100k_high_bmi_plus]-[ed100k_an_bmi_plus],1)",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_had_mens_plus,ed_100k_plus,,yesno,"Before this time, had your periods already started?",,,,,,,"[ed100kp_sex_plus] = 1 AND
([ed100k_underwt_past_plus] = '1' or [ed100k_sig_weightloss_plus] = '1')",y,,,,,
ed100k_stop_mens_plus,ed_100k_plus,,yesno,"Did your periods stop at any time when you were at low weight?",,,,,,,"[ed100k_had_mens_plus] = '1'",y,,,,,
ed100k_age_nomen_plus,ed_100k_plus,,text,"How old were you when your periods stopped? (Years)",,"Report your answer as a number",number,0,100,,"[ed100k_stop_mens_plus] = '1'",y,,,,,
ed100k_nomen_dur_1_plus,ed_100k_plus,,dropdown,"For how long did your periods stop?","1, 1-3 months | 2, 4-6 months | 3, 7-11 months | 4, 1-2 years | 5, More than 2 years",,,,,,"[ed100k_stop_mens_plus] = '1'",y,,,,,
ed100k_nomen_dur_2_plus,ed_100k_plus,,text,"Number of years that your period had stopped?",,"Report your answer as a number",number,0,120,,"[ed100k_nomen_dur_1_plus] = '5'",y,,,,,
ed100kp_birth_control_plus,ed_100k_plus,,yesno,"During this time, were you on any form of birth control?",,,,,,,"[ed100k_had_mens_plus] = '1'",y,,,,,
ed100kp_bc_type_plus,ed_100k_plus,,radio,"What type of birth control?","1, birth control pill | 2, hormonal implant | 3, IUD | 4, birth control shot | 5, birth control patch | 6, vaginal ring | 7, other",,,,,,[ed100kp_birth_control_plus]='1',y,,,,,
ed100kp_bc_other_plus,ed_100k_plus,,text,Describe:,,,,,,,"[ed100kp_bc_type_plus] = '7'",,,,,,
ed100kp_low_wt_cog_plus,ed_100k_plus,,descriptive,"LOW WEIGHT COGNITIONS",,,,,,,,,,,,," @HIDDEN-SURVEY"
